Biscuit Bill
Bobby Bubbles
Bouncy Bob
Bubblegum Betty
Chuckleberry Chase
Chuckles Charlie
Chuckling Chad
Crazy Carl
Dapper Dan
Dizzy Dave
Doodle Denny
Doodlebug Doug
Fidgety Finn
Fizzy Frank
Fluffy Frank
Funky Fred
Giddy Glenn
Giggles Greg
Goofy Gus
Grumpy Gus
Happy Harry
Hiccup Hank
Hula Harry
Humble Hank
Jittery Jack
Jolly Jim
Juggle Jerry
Jumbo Joe
Knucklehead Ken
Kooky Kevin
Lively Larry
Loco Leo
Lolly Lenny
Lucky Luke
Mirthful Mike
Muffin Mark
Noodle Ned
Nutty Nick
Paddle Pete
Pickle Paul
Quack Quentin
Quirky Quinn
Silly Sam
Snicker Steve
Tater Todd
Tickle Tom
Wacky Walter
Wiggle Will
Zany Zack
Zigzag Zane
